time;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corsica;Grand Est;Hauts-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d’Azur;Île-de-France
1987-01-01;10.8;10.8;10.8;10.8;12.05;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8
1987-01-02;8.82;8.82;8.82;8.82;8.7;8.82;8.82;8.82;8.82;8.82;8.82;8.82;8.82
1987-01-03;4.27;4.27;4.27;4.27;3.1;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27
1987-01-04;1.7699999999999996;1.7699999999999996;1.7699999999999996;1.7699999999999996;-0.35;1.7699999999999996;1.7699999999999996;1.7699999999999996;1.7699999999999996;1.7699999999999996;1.7699999999999996;1.7699999999999996;1.7699999999999996
1987-01-05;4.94;4.94;4.94;4.94;5.3;4.94;4.94;4.94;4.94;4.94;4.94;4.94;4.94
1987-01-06;6.709999999999999;6.709999999999999;6.709999999999999;6.709999999999999;7.0;6.709999999999999;6.709999999999999;6.709999999999999;6.709999999999999;6.709999999999999;6.709999999999999;6.709999999999999;6.709999999999999
1987-01-07;2.2;2.2;2.2;2.2;1.7999999999999998;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2
1987-01-08;-0.35;-0.35;-0.35;-0.35;-1.0;-0.35;-0.35;-0.35;-0.35;-0.35;-0.35;-0.35;-0.35
1987-01-09;1.0100000000000002;1.0100000000000002;1.0100000000000002;1.0100000000000002;1.65;1.0100000000000002;1.0100000000000002;1.0100000000000002;1.0100000000000002;1.0100000000000002;1.0100000000000002;1.0100000000000002;1.0100000000000002
1987-01-10;1.91;1.91;1.91;1.91;1.5;1.91;1.91;1.91;1.91;1.91;1.91;1.91;1.91
1987-01-11;-2.94;-2.94;-2.94;-2.94;-4.25;-2.94;-2.94;-2.94;-2.94;-2.94;-2.94;-2.94;-2.94
1987-01-12;-7.390000000000001;-7.390000000000001;-7.390000000000001;-7.390000000000001;-7.85;-7.390000000000001;-7.390000000000001;-7.390000000000001;-7.390000000000001;-7.390000000000001;-7.390000000000001;-7.390000000000001;-7.390000000000001
1987-01-13;-3.96;-3.96;-3.96;-3.96;-5.949999999999999;-3.96;-3.96;-3.96;-3.96;-3.96;-3.96;-3.96;-3.96
1987-01-14;-3.6399999999999992;-3.6399999999999992;-3.6399999999999992;-3.6399999999999992;-5.85;-3.6399999999999992;-3.6399999999999992;-3.6399999999999992;-3.6399999999999992;-3.6399999999999992;-3.6399999999999992;-3.6399999999999992;-3.6399999999999992
1987-01-15;-4.93;-4.93;-4.93;-4.93;-7.75;-4.93;-4.93;-4.93;-4.93;-4.93;-4.93;-4.93;-4.93
1987-01-16;-6.83;-6.83;-6.83;-6.83;-9.6;-6.83;-6.83;-6.83;-6.83;-6.83;-6.83;-6.83;-6.83
1987-01-17;-7.219999999999999;-7.219999999999999;-7.219999999999999;-7.219999999999999;-12.35;-7.219999999999999;-7.219999999999999;-7.219999999999999;-7.219999999999999;-7.219999999999999;-7.219999999999999;-7.219999999999999;-7.219999999999999
1987-01-18;-5.92;-5.92;-5.92;-5.92;-10.4;-5.92;-5.92;-5.92;-5.92;-5.92;-5.92;-5.92;-5.92
1987-01-19;-4.539999999999999;-4.539999999999999;-4.539999999999999;-4.539999999999999;-7.7;-4.539999999999999;-4.539999999999999;-4.539999999999999;-4.539999999999999;-4.539999999999999;-4.539999999999999;-4.539999999999999;-4.539999999999999
1987-01-20;-3.26;-3.26;-3.26;-3.26;-5.25;-3.26;-3.26;-3.26;-3.26;-3.26;-3.26;-3.26;-3.26
1987-01-21;-1.82;-1.82;-1.82;-1.82;-3.85;-1.82;-1.82;-1.82;-1.82;-1.82;-1.82;-1.82;-1.82
1987-01-22;-1.17;-1.17;-1.17;-1.17;-3.5;-1.17;-1.17;-1.17;-1.17;-1.17;-1.17;-1.17;-1.17
1987-01-23;-0.4799999999999998;-0.4799999999999998;-0.4799999999999998;-0.4799999999999998;-1.25;-0.4799999999999998;-0.4799999999999998;-0.4799999999999998;-0.4799999999999998;-0.4799999999999998;-0.4799999999999998;-0.4799999999999998;-0.4799999999999998
1987-01-24;1.09;1.09;1.09;1.09;0.25;1.09;1.09;1.09;1.09;1.09;1.09;1.09;1.09
1987-01-25;1.6599999999999997;1.6599999999999997;1.6599999999999997;1.6599999999999997;0.3;1.6599999999999997;1.6599999999999997;1.6599999999999997;1.6599999999999997;1.6599999999999997;1.6599999999999997;1.6599999999999997;1.6599999999999997
