geo_insee;geo_name;year;rrmse;alpha;mu;sigma;d_alpha;d_mu;d_sigma
44;GRAND EST;1984-1985;0.605233901512638;448.6748208963555;116.82782292620506;26.425110609277407;33.72057561160534;2.3037777827001724;2.3564431253806792
75;NOUVELLE-AQUITAINE;1984-1985;0.40586230285014174;1614.759832771245;103.49867886560271;10.777878615535217;61.97638463821488;0.4776572642423527;0.47767939223464995
84;AUVERGNE-RHONE-ALPES;1984-1985;0.41009782119146154;595.3254810648441;112.83535021624989;31.55623925464075;33.48132978923005;2.1017461209214225;2.136963964819539
27;BOURGOGNE-FRANCHE-COMTE;1984-1985;0.4769490666605051;1100.445467360479;121.67062245248898;25.629959193223005;69.40742437217698;1.8675294874952844;1.8946308662550972
53;BRETAGNE;1984-1985;0.7390881203307632;1066.6721029061239;98.84013277072403;12.364694779999262;84.07818040597542;1.1247871713876147;1.129175849290861
24;CENTRE-VAL-DE-LOIRE;1984-1985;0.6125021321038716;840.0709362538149;125.32815252731196;22.95979159348822;56.10328690954889;1.7697586136212897;1.7774612665172336
94;CORSE;1984-1985;0.9522535883857296;222.67523402050347;127.86535141794946;17.394873492935655;18.55035324717469;1.673275842887837;1.6733334139289673
11;ILE-DE-FRANCE;1984-1985;0.6584564101196146;1332.258140862313;99.01460431359699;13.287620372395189;98.68253480831251;1.1356006135619172;1.1443312371594179
76;OCCITANIE;1984-1985;0.2789526593036894;724.7654290592544;121.71321076786765;26.041286157466732;23.92762097397443;0.9935184241784589;1.008899896813726
32;HAUTS-DE-FRANCE;1984-1985;0.7722336888556041;429.2274179105011;106.70600880482365;51.05505012442958;50.903084878346235;7.152858125169427;7.134930573163506
28;NORMANDIE;1984-1985;0.8172978236021634;124.93094359182372;150.40230408393236;66.17253159817737;17.27320605376664;10.742971735476354;11.130521394565724
52;PAYS-DE-LA-LOIRE;1984-1985;0.7657621391872776;893.2125209063263;118.74062718326415;18.35164692782785;65.3873741487055;1.5509043124170654;1.5531093253080104
93;PROVENCE-ALPES-COTE-D-AZUR;1984-1985;0.5472144620858835;517.0584962763534;114.94675419621963;30.341087029416286;41.567262168912855;2.8660446483847846;2.930408121290321
44;GRAND EST;1985-1986;0.4758546241775493;614.4208280768581;180.0233656204287;18.764807595127333;27.013032042132924;0.9526226186817276;0.9526226160738919
75;NOUVELLE-AQUITAINE;1985-1986;0.8835463820197285;1445.9135798365003;166.3420897364644;5.5247679758779835;91.40176831289502;0.40722686562588034;0.4026909337687172
84;AUVERGNE-RHONE-ALPES;1985-1986;0.40500110739358686;854.4211105306705;165.53737693144913;18.21940277797473;31.71705080237115;0.7809519892756214;0.7809519880857719
27;BOURGOGNE-FRANCHE-COMTE;1985-1986;0.6302259737163152;1175.5221262062523;176.84464406514692;14.241957954348607;80.97134568901191;1.1327644659781881;1.132764470889141
53;BRETAGNE;1985-1986;0.6559010112840324;1114.330435228416;183.76360030083038;12.775601980571086;56.33486544831466;0.7457856284852296;0.7457856307342542
24;CENTRE-VAL-DE-LOIRE;1985-1986;0.6418728699025703;1072.2497824342186;178.83351842233427;10.823438422623004;54.77606574505294;0.6384538103620948;0.6384538427193169
94;CORSE;1985-1986;1.977808587022006;30.70272875349572;79.67674717989986;15.676816793500288;3.802466827534717;2.2418972935145844;2.2418972944936497
11;ILE-DE-FRANCE;1985-1986;0.45616923523826586;704.1147589716908;180.67185724549563;24.30034190787876;35.52712579187182;1.4157884951565183;1.4157884991449512
76;OCCITANIE;1985-1986;0.5050557328073675;580.0012790168724;155.1398757910573;28.150823428123445;28.804342815585265;1.6143194954520788;1.614319495390635
