year;indicator;inc;inc_low;inc_up;inc100;inc100_low;inc100_up;geo_insee;geo_name
2023;18;39052;32815;45289;59;50;68;FR;France
2022;18;34017;28158;39876;51;42;60;FR;France
2021;18;46598;39049;54147;71;60;82;FR;France
2020;18;60033;52990;67076;91;80;102;FR;France
2019;18;50133;43029;57237;76;65;87;FR;France
2018;18;68530;59768;77292;104;91;117;FR;France
2017;18;44679;37540;51818;69;58;80;FR;France
2016;18;54404;45252;63556;84;70;98;FR;France
2015;18;33202;24937;41467;51;38;64;FR;France
2014;18;26146;19336;32956;41;30;52;FR;France
2013;18;35322;27732;42912;55;43;67;FR;France
2012;18;27817;19876;35758;44;32;56;FR;France
2011;18;26166;20012;32320;41;31;51;FR;France
2010;18;26227;19684;32770;42;32;52;FR;France
2009;18;26126;18660;33592;42;30;54;FR;France
