week;indicator;inc;inc_low;inc_up;inc100;inc100_low;inc100_up;geo_insee;geo_name
202428;25;6760;3571;9949;130;69;191;93;PROVENCE-ALPES-COTE-D-AZUR
202428;25;4822;2795;6849;122;71;173;52;PAYS-DE-LA-LOIRE
202428;25;733;14;1452;22;1;43;28;NORMANDIE
202428;25;9384;5348;13420;154;88;220;32;HAUTS-DE-FRANCE
202428;25;8526;5312;11740;139;87;191;76;OCCITANIE
202428;25;11118;8054;14182;89;64;114;11;ILE-DE-FRANCE
202428;25;181;0;424;51;0;120;94;CORSE
202428;25;2760;981;4539;105;37;173;24;CENTRE-VAL-DE-LOIRE
202428;25;13961;10324;17598;401;297;505;53;BRETAGNE
202428;25;3204;1291;5117;112;45;179;27;BOURGOGNE-FRANCHE-COMTE
202428;25;14329;9726;18932;173;117;229;84;AUVERGNE-RHONE-ALPES
202428;25;6153;3174;9132;99;51;147;75;NOUVELLE-AQUITAINE
202428;25;10416;6120;14712;184;108;260;44;GRAND EST
202427;25;7976;4366;11586;153;84;222;93;PROVENCE-ALPES-COTE-D-AZUR
202427;25;4289;2610;5968;109;66;152;52;PAYS-DE-LA-LOIRE
202427;25;1274;510;2038;37;15;59;28;NORMANDIE
202427;25;8738;5383;12093;144;89;199;32;HAUTS-DE-FRANCE
202427;25;6648;3836;9460;108;62;154;76;OCCITANIE
202427;25;12152;9150;15154;98;74;122;11;ILE-DE-FRANCE
202427;25;249;69;429;71;20;122;94;CORSE
202427;25;2173;359;3987;83;14;152;24;CENTRE-VAL-DE-LOIRE
202427;25;11434;8665;14203;328;248;408;53;BRETAGNE
202427;25;774;112;1436;27;4;50;27;BOURGOGNE-FRANCHE-COMTE
202427;25;9797;6898;12696;118;83;153;84;AUVERGNE-RHONE-ALPES
202427;25;7671;4966;10376;124;80;168;75;NOUVELLE-AQUITAINE
202427;25;12090;7296;16884;213;128;298;44;GRAND EST
202426;25;6530;2426;10634;126;47;205;93;PROVENCE-ALPES-COTE-D-AZUR
202426;25;2583;1037;4129;65;26;104;52;PAYS-DE-LA-LOIRE
202426;25;1051;360;1742;31;11;51;28;NORMANDIE
202426;25;6613;3793;9433;109;63;155;32;HAUTS-DE-FRANCE
202426;25;8828;5882;11774;144;96;192;76;OCCITANIE
202426;25;11404;8547;14261;92;69;115;11;ILE-DE-FRANCE
202426;25;309;0;627;88;0;178;94;CORSE
202426;25;2349;624;4074;89;23;155;24;CENTRE-VAL-DE-LOIRE
202426;25;9059;6667;11451;260;191;329;53;BRETAGNE
202426;25;1239;345;2133;43;12;74;27;BOURGOGNE-FRANCHE-COMTE
202426;25;9874;7007;12741;119;84;154;84;AUVERGNE-RHONE-ALPES
202426;25;10144;6969;13319;163;112;214;75;NOUVELLE-AQUITAINE
202426;25;11428;6965;15891;202;123;281;44;GRAND EST
202425;25;4371;1801;6941;84;35;133;93;PROVENCE-ALPES-COTE-D-AZUR
202425;25;1739;745;2733;44;19;69;52;PAYS-DE-LA-LOIRE
202425;25;1563;667;2459;46;20;72;28;NORMANDIE
202425;25;5693;3352;8034;94;56;132;32;HAUTS-DE-FRANCE
202425;25;8327;5695;10959;136;93;179;76;OCCITANIE
202425;25;16108;12899;19317;130;104;156;11;ILE-DE-FRANCE
202425;25;347;55;639;98;15;181;94;CORSE
202425;25;5276;2757;7795;201;105;297;24;CENTRE-VAL-DE-LOIRE
202425;25;10279;7687;12871;295;221;369;53;BRETAGNE
202425;25;3243;1321;5165;113;46;180;27;BOURGOGNE-FRANCHE-COMTE
202425;25;12210;8820;15600;147;106;188;84;AUVERGNE-RHONE-ALPES
202425;25;11021;7730;14312;178;125;231;75;NOUVELLE-AQUITAINE
202425;25;22590;15320;29860;399;271;527;44;GRAND EST
202424;25;3377;1468;5286;65;28;102;93;PROVENCE-ALPES-COTE-D-AZUR
202424;25;3564;2142;4986;90;54;126;52;PAYS-DE-LA-LOIRE
202424;25;1941;381;3501;57;11;103;28;NORMANDIE
202424;25;8223;5457;10989;135;90;180;32;HAUTS-DE-FRANCE
202424;25;7046;4560;9532;115;75;155;76;OCCITANIE
202424;25;16132;12880;19384;130;104;156;11;ILE-DE-FRANCE
202424;25;123;0;250;35;0;71;94;CORSE
202424;25;3170;1484;4856;120;56;184;24;CENTRE-VAL-DE-LOIRE
202424;25;11952;8846;15058;343;254;432;53;BRETAGNE
202424;25;2426;783;4069;84;27;141;27;BOURGOGNE-FRANCHE-COMTE
202424;25;11585;8317;14853;140;101;179;84;AUVERGNE-RHONE-ALPES
202424;25;9295;6162;12428;150;100;200;75;NOUVELLE-AQUITAINE
202424;25;12782;8266;17298;226;146;306;44;GRAND EST
202423;25;3941;1949;5933;76;38;114;93;PROVENCE-ALPES-COTE-D-AZUR
202423;25;4453;2774;6132;113;70;156;52;PAYS-DE-LA-LOIRE
202423;25;1797;915;2679;53;27;79;28;NORMANDIE
202423;25;7269;4400;10138;119;72;166;32;HAUTS-DE-FRANCE
202423;25;6072;3978;8166;99;65;133;76;OCCITANIE
202423;25;19566;16082;23050;157;129;185;11;ILE-DE-FRANCE
202423;25;510;0;1119;145;0;318;94;CORSE
202423;25;4389;2264;6514;167;86;248;24;CENTRE-VAL-DE-LOIRE
202423;25;7389;5200;9578;212;149;275;53;BRETAGNE
