week;indicator;inc;inc_low;inc_up;inc100;inc100_low;inc100_up;geo_insee;geo_name
202428;6;33991;27237;40745;51;41;61;FR;France
202427;6;35487;29351;41623;53;44;62;FR;France
202426;6;35303;28919;41687;53;43;63;FR;France
202425;6;48061;40803;55319;72;61;83;FR;France
202424;6;40812;32673;48951;61;49;73;FR;France
202423;6;40623;34260;46986;61;51;71;FR;France
202422;6;39663;33003;46323;59;49;69;FR;France
202421;6;36164;29689;42639;54;44;64;FR;France
202420;6;38603;32421;44785;58;49;67;FR;France
202419;6;32224;26505;37943;48;39;57;FR;France
202418;6;45037;38032;52042;68;57;79;FR;France
202417;6;36442;29996;42888;55;45;65;FR;France
202416;6;40194;33407;46981;60;50;70;FR;France
202415;6;53036;44925;61147;80;68;92;FR;France
202414;6;54150;46016;62284;81;69;93;FR;France
202413;6;53814;46374;61254;81;70;92;FR;France
202412;6;52266;45168;59364;78;67;89;FR;France
202411;6;59584;51876;67292;89;77;101;FR;France
202410;6;45468;38811;52125;68;58;78;FR;France
202409;6;44707;38342;51072;67;57;77;FR;France
202408;6;50363;38935;61791;76;59;93;FR;France
202407;6;57108;49490;64726;86;75;97;FR;France
202406;6;61250;54033;68467;92;81;103;FR;France
202405;6;66839;59725;73953;100;89;111;FR;France
202404;6;70989;63475;78503;106;95;117;FR;France
202403;6;83990;75832;92148;126;114;138;FR;France
202402;6;81801;73218;90384;123;110;136;FR;France
202401;6;83150;73359;92941;125;110;140;FR;France
202352;6;83463;72817;94109;126;110;142;FR;France
202351;6;65525;57333;73717;99;87;111;FR;France
202350;6;64345;53000;75690;97;80;114;FR;France
202349;6;58345;50696;65994;88;76;100;FR;France
202348;6;53505;46034;60976;80;69;91;FR;France
202347;6;50813;43660;57966;76;65;87;FR;France
202346;6;48281;41104;55458;73;62;84;FR;France
202345;6;48256;39142;57370;73;59;87;FR;France
202344;6;26656;21408;31904;40;32;48;FR;France
202343;6;32156;26318;37994;48;39;57;FR;France
202342;6;41903;35460;48346;63;53;73;FR;France
202341;6;44087;37791;50383;66;57;75;FR;France
202340;6;47011;40168;53854;71;61;81;FR;France
202339;6;40651;34258;47044;61;51;71;FR;France
202338;6;48707;40762;56652;73;61;85;FR;France
202337;6;40287;33136;47438;61;50;72;FR;France
202336;6;37835;31002;44668;57;47;67;FR;France
202335;6;36934;31105;42763;56;47;65;FR;France
202334;6;36711;30124;43298;55;45;65;FR;France
202333;6;29448;22248;36648;44;33;55;FR;France
202332;6;28410;22449;34371;43;34;52;FR;France
202331;6;31755;25344;38166;48;38;58;FR;France
202330;6;33760;26940;40580;51;41;61;FR;France
202329;6;39114;31577;46651;59;48;70;FR;France
202328;6;30518;24499;36537;46;37;55;FR;France
202327;6;38976;32478;45474;59;49;69;FR;France
202326;6;37176;30926;43426;56;47;65;FR;France
202325;6;40851;34034;47668;61;51;71;FR;France
202324;6;37472;30839;44105;56;46;66;FR;France
202323;6;32263;24503;40023;49;37;61;FR;France
202322;6;32094;26392;37796;48;39;57;FR;France
202321;6;32394;26920;37868;49;41;57;FR;France
202320;6;32381;26485;38277;49;40;58;FR;France
202319;6;36968;30642;43294;56;46;66;FR;France
202318;6;31229;25384;37074;47;38;56;FR;France
202317;6;36600;29080;44120;55;44;66;FR;France
202316;6;46561;39560;53562;70;59;81;FR;France
202315;6;47864;40929;54799;72;62;82;FR;France
202314;6;49886;42719;57053;75;64;86;FR;France
202313;6;56959;49747;64171;86;75;97;FR;France
202312;6;63924;56308;71540;96;85;107;FR;France
202311;6;58457;51323;65591;88;77;99;FR;France
202310;6;68728;60947;76509;103;91;115;FR;France
202309;6;70624;62555;78693;106;94;118;FR;France
202308;6;61027;53600;68454;92;81;103;FR;France
202307;6;53302;46161;60443;80;69;91;FR;France
202306;6;78886;69918;87854;119;106;132;FR;France
202305;6;84883;76426;93340;128;115;141;FR;France
202304;6;82808;74250;91366;125;112;138;FR;France
202303;6;65106;57670;72542;98;87;109;FR;France
202302;6;70950;61984;79916;107;94;120;FR;France
202301;6;79455;70133;88777;120;106;134;FR;France
202252;6;70434;59133;81735;106;89;123;FR;France
202251;6;38595;32459;44731;58;49;67;FR;France
202250;6;47794;39745;55843;72;60;84;FR;France
202249;6;44943;38688;51198;68;59;77;FR;France
202248;6;44462;38570;50354;67;58;76;FR;France
202247;6;44620;38361;50879;67;58;76;FR;France
202246;6;51944;45003;58885;78;68;88;FR;France
202245;6;48623;41474;55772;73;62;84;FR;France
202244;6;33206;27072;39340;50;41;59;FR;France
